Sample Name,Atom Number,Occupied Orbitals,Molecule Weight,HOMO,LUMO,HOMO-LUMO Gap,Principal_Moment_I1,Principal_Moment_I2,Principal_Moment_I3,Farthest Distance,Molecular Radius,Molecular Size Short,Molecular Size Medium,Molecular Size Long,Long/Sum Size Ratio,Length/Diameter,MPP,SDP,Dipole Moment (a.u.),ODI LUMO+1,ODI LUMO,ODI HOMO,ODI HOMO-1,ODI Mean,ODI Std,Isosurface area,Sphericity,LEAE Minimal Value,LEAE Maximal Value,LEAE Average Value,Surface exposed atom num,ESP Minimal Value,ESP Maximal Value,ESP Overall Average Value (kcal/mol),ESP Overall Variance ((kcal/mol)^2),Balance of Charges (nu),Product of sigma^2_tot and nu ((kcal/mol)^2),Internal Charge Separation (Pi) (kcal/mol),Molecular Polarity Index (MPI) (kcal/mol),Polar Surface Area (Angstrom^2),Polar Surface Area (%),ALIE Minimal Value,ALIE Maximal Value,ALIE Average Value,ALIE Variance,Shape_Gyradius,Shape_Asphericity,Shape_Relative_Gyradius,Shape_Waist_Variance,Shape_Geometric_Asphericity
6j_S_bp1,77,177.0,684.66271,-0.227327,-0.149428,0.077899,6132.3076,9078.3471,12085.711,14.913,8.656,9.946,14.741,16.71,0.403652438582506,0.9652264325323475,1.783654,7.365842,4.003877,17.96,13.4,6.03,12.46,12.4625,4.256714548804042,541.64356,0.4914,-3.61698,-2e-05,-0.36972,77,0.34534,140.86163,73.71502,745.80623,0.0,0.0,21.83104,73.71502,533.38,98.47,8.50573,16.5208,11.50293,1.73533,8.437246585130232,0.09990454179371441,1.3024789188725088,36.83187797136554,0.06098026864812468
2c_R_Me_S_bp1,71,175.0,681.48829,-0.231149,-0.146235,0.084913,6252.9382,10437.333,14834.936,17.797,10.099,8.707,13.86,19.348,0.46160085888106883,0.9579166254084562,1.379211,6.433005,3.687037,19.28,18.03,13.14,5.94,14.0975,5.238904346330442,527.95082,0.4884,-3.8402,-1e-05,-0.36532,71,7.34942,148.3957,75.99349,804.03441,0.0,0.0,23.11588,75.99349,526.33,99.69,8.53736,16.69731,11.57311,1.76712,9.088398676530465,0.15008830657365105,1.4256688584264057,120.08265999963123,0.13226991083732856
2g_R_bp3,89,183.0,696.758,-0.230015,-0.14917,0.080845,4646.8644,12461.003,13682.018,17.675,10.038,10.763,12.459,19.996,0.46267758804201947,0.996015142458657,1.932121,8.28242,6.135674,14.99,18.63,15.63,6.91,14.04,4.339804143046089,592.18461,0.4716,-4.03943,-8e-05,-0.3279,89,0.59859,158.24326,77.98513,793.48672,0.0,0.0,22.4386,77.98513,584.63,98.72,8.44138,16.25307,11.52116,1.56078,8.882786187183157,0.19802044412023045,1.3306072999808338,51.039989742850416,0.10801099921669538
2j_S_bp5,85,191.0,736.73742,-0.229522,-0.142285,0.087237,6524.6478,13108.493,16829.674,17.728,10.064,10.159,14.676,19.535,0.44027496055893617,0.9705385532591415,1.678931,7.789429,4.88836,5.48,14.6,11.2,5.32,9.149999999999999,3.938362603925646,598.06084,0.4716,-3.6924,-8e-05,-0.34096,85,-12.32994,156.83155,72.78694,809.12954,0.01165795,9.43279,23.6816,72.96492,573.22,95.85,8.41188,16.53087,11.47006,1.7527,9.400591295883192,0.1641621086611385,1.3698879845501748,113.24179009911795,0.09420260265456952
2i_R_Me_S_bp4,73,171.0,662.61729,-0.240376,-0.158154,0.082222,6572.0748,10130.475,14623.501,17.791,10.096,8.702,15.254,19.572,0.4496416099981621,0.9692947702060222,1.321339,6.058834,6.289009,18.92,17.73,9.92,9.48,14.012500000000003,4.335766224094653,535.17324,0.4837,-3.73102,-4e-05,-0.40289,73,-14.83512,160.62882,78.30963,1165.75649,0.01646784,19.1975,28.06085,78.40969,517.48,96.69,8.82415,17.06667,11.71101,1.77911,9.187724255927487,0.13578584263658625,1.3908571297559702,56.61673087889778,0.12996231011378004
1d_R_bp1,51,119.0,460.40594,-0.232428,-0.144243,0.088186,2231.3967,4983.5214,6130.1929,13.663,8.032,7.445,11.709,15.73,0.4509230592821924,0.9792081673306773,1.118988,4.690737,4.05883,17.86,15.03,5.04,7.05,11.245,5.342857381588994,366.97003,0.5484,-4.18162,-0.00022,-0.46101,51,7.96089,160.24788,83.59332,960.98794,0.0,0.0,25.33397,83.59332,365.99,99.73,8.61801,16.71183,11.7537,2.07035,7.194130409096188,0.17872288307445086,1.347600428535137,57.91185235672587,0.11704585195099956
6g_S_bp4,81,169.0,644.6833,-0.233862,-0.146214,0.087648,5249.568,8451.5868,10573.623,14.72,8.56,9.93,13.522,16.489,0.41283393004681906,0.963142523364486,1.676482,7.537333,4.778738,13.83,11.61,5.75,13.83,11.254999999999999,3.3050075642878642,537.80047,0.4894,-3.70169,-6e-05,-0.33925,81,-5.25611,143.70061,77.59875,668.57386,0.00293816,1.96438,20.2491,77.61997,527.76,98.13,8.65408,16.30772,11.55564,1.51912,8.199562975425915,0.10223865389643014,1.3092315153900607,66.87660086063616,0.05848704487696869
7k_S_bp1,99,219.0,841.74417,-0.226953,-0.139469,0.087484,10225.141,13263.786,18056.377,15.607,9.003,12.627,15.996,16.73,0.36888408705047077,0.9291347328668221,2.292905,10.01676,4.554322,17.9,14.28,14.24,6.27,13.1725,4.253230389950678,666.23707,0.4607,-3.63386,-5e-05,-0.27439,99,1.90727,140.7967,74.3861,658.05271,0.0,0.0,20.63817,74.3861,660.78,99.18,8.47468,16.16881,11.45797,1.49219,9.387599428616067,0.07710498551032877,1.3018849968345858,48.36722447681428,0.020658282682222643
5e_R_Me_S_bp2,69,177.0,696.5196,-0.233716,-0.15987,0.073845,5021.9091,9155.552,9910.295,14.551,8.476,10.901,11.555,16.475,0.42318460866661534,0.9718617272298253,1.662792,7.716218,9.362633,16.39,15.43,8.33,6.15,11.575,4.416047440868361,502.95599,0.5011,-4.10762,-8e-05,-0.39092,69,-11.59519,159.26305,84.59925,1277.67917,0.00755989,9.65912,30.68863,84.75828,482.93,96.02,8.62486,17.4573,12.29461,2.9903,7.858082829961734,0.10024468878182334,1.282084380585931,77.89877267075545,0.053175069482208355
5j_S_bp2,77,177.0,684.66271,-0.22668,-0.142025,0.084655,5777.1755,9659.7168,10939.022,15.044,8.722,11.99,12.165,15.839,0.39603440516077415,0.9079912864022014,1.958547,9.185865,7.270104,12.26,15.48,14.15,6.74,12.1575,3.330498273532055,542.10934,0.4907,-3.64374,-5e-05,-0.37604,77,-17.21382,159.90753,75.99188,893.0826,0.02242014,20.02304,25.10912,76.35926,517.1,95.39,8.35624,16.53126,11.50122,1.80389,8.293758803849338,0.08799623416997523,1.305626513400664,65.9541171120791,0.026117390545375006
6b_R_bp5,57,145.0,568.45128,-0.234524,-0.160248,0.074276,3535.4078,7700.0436,9166.823,15.166,8.783,8.996,11.957,17.092,0.4492574582730976,0.9730160537401799,1.491313,6.564138,6.109275,12.59,15.34,6.0,14.46,12.0975,3.6577751092706614,422.47095,0.5299,-3.8448,-7e-05,-0.45757,57,-5.56216,159.70455,82.16239,1094.9485,0.00233389,2.55548,26.9868,82.19264,408.59,96.71,8.71052,17.246,11.98282,2.62061,8.005328655439216,0.16431886496137044,1.3599143533045843,91.75715525924888,0.09755258162291754
